,obsid,obsdate,ra,dec,subclass,mag5,z,z_err,rv,rv_err,logg,logg_err,teff,teff_err,feh,feh_err
20330,316209014,09/02/2015,210.12163,25.021188,G3,18.03849983,7.15E-05,1.84E-05,21.44,5.51,4.279,0.113,5497.5,69.44,-0.547,0.074
86697,308301183,30/01/2015,111.8724764,47.4844569,K5,17.19809914,3.53E-05,7.34E-06,10.58,2.2,4.848,0.046,4228.15,28.31,-0.002,0.03
1222,641808024,05/02/2018,81.752809,-1.5985364,F6,-999,0.00052261,8.05E-05,,,,,,,,
46413,60316055,05/10/2012,348.779603,24.889311,G9,-999,-2.38E-05,3.86E-06,,,,,,,,
30344,421113099,07/02/2016,92.668035,26.596687,K5,-999,-9.80E-05,7.91E-06,,,,,,,,
30378,267414232,17/11/2014,47.6140644,3.7907296,G9,-999,0.00038395,7.33E-06,,,,,,,,
69011,34616205,28/01/2012,153.352339,44.3783,G3,-999,7.22E-05,3.70E-05,21.64,11.09,4.416,0.231,5734.16,141.3,-0.455,0.151
77683,740114016,01/04/2019,156.269286,37.389603,K3,15.51000023,-0.000273356,3.20E-05,-81.95,9.59,4.731,0.204,4983.65,124.45,-0.695,0.133
40629,555907143,17/03/2017,115.9234211,15.9389036,F0,-999,0.00030271,7.94E-06,,,,,,,,
48607,580310089,13/06/2017,273.8391339,12.93262444,F5,-999,-0.000138162,3.27E-05,-41.42,9.79,4.249,0.135,6603.72,91.66,0.191,0.093
60430,505402230,01/01/2017,142.132114,26.762273,dM1,16.1697998,0.00014313,7.64E-06,,,5.065,0.17,3769.93,83.58,,
84548,155302175,29/05/2013,266.990973,52.297847,G9,-999,-7.53E-05,1.83E-05,-22.58,5.5,4.711,0.088,4980.44,56.8,-0.274,0.059
26083,661808053,18/04/2018,248.031527,42.113463,G7,-999,-1.76E-05,1.01E-05,-5.29,3.02,3.37,0.029,5099.52,20.94,-0.415,0.017
30655,321612220,22/02/2015,219.397573,37.238985,G7,-999,-0.000460185,1.28E-05,-137.96,3.84,1.825,0.041,4816.55,28.8,-1.584,0.025
23679,393314044,21/12/2015,81.7466222,17.2918414,F9,13.16390038,-1.81E-05,2.01E-05,-5.42,6.03,2.767,0.112,5266.93,69.75,-0.426,0.074
50339,699008102,09/12/2018,52.4596131,-0.8847747,K1,-999,-0.000148236,1.51E-05,-44.44,4.52,2.852,0.043,4551.64,31.14,-0.063,0.025
99658,31604215,21/01/2012,100.72974,28.64712,K5,17.22730064,-4.75E-06,1.42E-05,,,,,,,,
41010,564703145,22/04/2017,271.5099719,20.5443514,K1,-999,8.04E-06,2.06E-05,2.41,6.19,4.525,0.043,5156.93,34.17,0.379,0.021
27825,100401172,02/01/2013,123.803807,41.420953,F7,-999,6.05E-05,1.22E-05,18.14,3.65,4.033,0.031,6160.6,22.77,-0.089,0.017
98287,778715157,20/12/2019,151.653265,19.7432889,G7,16.93009949,0.000161979,2.48E-05,48.56,7.43,4.293,0.149,5420.2,91.79,-0.08,0.098
53954,41603027,15/02/2012,132.993789,15.053932,G2,19.7765007,0.00039876,4.52E-05,,,,,,,,
102572,26708115,05/01/2012,168.500813,31.583511,K4,15.71469975,-4.33E-05,3.81E-06,,,,,,,,
70791,437805077,10/03/2016,240.14119,12.085806,G3,12.90250015,-0.000127088,1.49E-05,-38.1,4.47,4.109,0.036,5684.96,27.29,-0.062,0.02
26537,280403134,15/12/2014,96.543735,16.614705,G9,-999,-4.91E-05,6.07E-05,,,,,,,,
91753,221714243,06/03/2014,243.262164,33.066733,G7,-999,0.000231427,1.85E-05,69.38,5.55,2.837,0.051,4845.62,37.27,-0.508,0.029
17073,203212046,02/01/2014,25.139409,34.951825,K1,19.52899933,-1.62E-05,0.00014736,,,,,,,,
65165,678607038,07/10/2018,46.68355,46.25093,F9,17.00499916,-0.000155107,2.83E-05,-46.5,8.49,4.612,0.173,5700.46,106.07,-0.323,0.113
21971,628705140,11/01/2018,36.6653716,19.2242476,G8,16.70779991,-1.03E-05,1.65E-05,,,,,,,,
53791,107807087,16/01/2013,90.315305,18.489334,G5,-999,0.00011038,9.20E-06,,,,,,,,
61209,795215170,24/01/2020,190.30153,-1.434791,F6,-999,0.0002479,3.60E-05,,,,,,,,
23861,62909153,07/10/2012,16.587374,39.305333,F2,15.9545002,-0.00021763,1.81E-05,,,,,,,,
47555,730510250,28/02/2019,72.1529047,22.3736583,F6,13.84630013,-4.65E-05,1.21E-05,-13.93,3.62,4.206,0.037,6364.5,26.63,0.023,0.022
90800,505814174,28/09/2016,333.1221458,16.9920552,G7,-999,-0.000129323,1.98E-05,-38.77,5.94,4.621,0.082,5340.21,55.65,-0.144,0.056
31202,67910185,17/10/2012,81.516267,26.593775,F0,-999,4.97E-06,2.69E-05,1.49,8.05,4.018,0.152,6775.69,94.59,-0.14,0.1
84225,558002052,26/03/2017,208.5173705,19.3436281,K7,19.9715004,-4.49E-05,1.17E-05,,,,,,,,
60832,161201221,04/10/2013,69.081255,34.717796,G5,16.67090034,-6.97E-06,1.34E-05,-2.09,4.01,2.649,0.09,4802.05,54.73,-0.057,0.059
28283,258809066,03/11/2014,37.676281,17.634823,K5,-999,4.89E-05,1.42E-05,14.67,4.26,4.794,0.045,4370.27,31.9,-0.26,0.027
8171,451713020,12/04/2016,193.780143,9.8275176,F0,19.58309937,0.00027418,0.0003358,,,,,,,,
102576,655401084,12/03/2018,186.6423681,25.1454411,K5,-999,-1.07E-05,1.85E-05,,,,,,,,
30295,446105216,25/03/2016,263.58488,19.062367,G5,13.54730034,-0.00017352,1.80E-05,-52.02,5.4,3.961,0.094,5444.95,59.37,0.265,0.062
15798,129712081,02/03/2013,231.864333,14.144262,K3,14.46080017,-0.00014662,6.51E-06,,,,,,,,
37496,168313205,23/10/2013,26.693641,21.692892,K5,-999,-0.00010849,4.83E-06,,,,,,,,
57385,178516157,15/11/2013,353.897116,42.008345,K1,14.05070019,-0.000247705,1.15E-05,-74.26,3.45,2.849,0.076,4758.19,46.36,-0.233,0.05
30760,643616074,10/02/2018,71.623754,63.258638,G2,18.59140015,-6.70E-05,1.70E-05,-20.1,5.11,4.171,0.054,6018.41,41.26,-0.001,0.04
75916,257912076,02/11/2014,42.134806,29.096366,K0,-999,-0.00023389,0.00014147,,,,,,,,
4711,805415064,22/02/2020,205.467713,39.424984,K3,-999,-0.000104639,2.58E-05,-31.37,7.73,4.696,0.061,5053.82,46.43,0.305,0.034
37113,554808189,15/03/2017,220.521666,53.892924,K1,-999,-7.86E-05,1.30E-05,-23.56,3.89,4.315,0.061,5306.33,39.72,0.267,0.041
11048,148408039,27/04/2013,255.2568677,52.5910844,F6,-999,-0.00062241,1.42E-05,,,,,,,,
90594,577516242,07/06/2017,254.592989,36.993327,F2,13.14159966,-6.80E-05,1.58E-05,-20.38,4.75,4.302,0.049,6165.53,36.98,-0.288,0.035
83830,370312149,13/10/2015,316.640291,3.839805,G7,13.42310047,0.000127655,1.25E-05,38.27,3.74,3.697,0.039,5081.66,27.75,-0.193,0.023
76969,331206232,09/03/2015,168.042279,14.4532579,F0,18.34009933,0.00050423,2.23E-05,,,,,,,,
88864,215513073,09/02/2014,81.307856,59.139226,G5,12.38479996,-3.92E-05,1.30E-05,-11.75,3.9,2.617,0.067,4752.62,42.58,-0.325,0.045
76974,109505232,23/01/2013,117.36661,2.270126,G5,11.82600021,0.000107374,9.27E-06,32.19,2.78,2.585,0.029,4770.07,20.44,-0.417,0.018
69110,362211021,01/10/2015,340.095593,2.14866,G7,15.79940033,3.24E-05,1.95E-05,9.7,5.84,4.619,0.118,5442.74,72.52,-0.111,0.077
45890,804108057,18/02/2020,207.90782,30.399225,F2,-999,0.00012959,1.15E-05,38.85,3.45,4.163,0.03,5944.72,22.32,-0.412,0.017
91033,269715204,20/11/2014,127.258428,41.689869,G5,12.60449982,-0.000190098,1.88E-05,-56.99,5.64,3.647,0.052,4908.19,38.04,0.142,0.03
79509,577613052,07/06/2017,285.59335,43.171188,G3,-999,-9.04E-06,1.20E-05,-2.71,3.61,3.88,0.038,5570.1,26.37,-0.131,0.023
22614,331603103,09/03/2015,253.111442,9.963068,K1,-999,-0.000210946,1.82E-05,-63.24,5.46,2.178,0.083,4409.01,54.58,-0.645,0.056
94635,384904156,29/11/2015,89.6085361,-3.1055103,K3,13.27760029,0.000194034,1.26E-05,58.17,3.77,4.622,0.04,5400.02,27.78,-0.034,0.024
74514,501405075,27/12/2016,80.506568,10.674771,dM4,15.68280029,-3.28E-05,3.01E-05,,,5.005,0.29,3702.34,141.96,,
36065,456705220,03/05/2016,209.564956,42.067314,F0,-999,-0.000143199,1.21E-05,-42.93,3.64,4.182,0.039,6358.85,27.3,-1.122,0.023
75186,393015044,21/12/2015,20.685678,48.592641,G4,-999,6.38E-05,1.28E-05,19.12,3.83,4.294,0.04,5568.18,27.83,-0.054,0.025
7954,116813211,01/02/2013,134.571402,15.807565,K5,12.95199966,0.00012105,1.85E-05,36.29,5.56,4.642,0.095,4231.14,60.35,-0.118,0.063
46341,297101067,12/01/2015,101.8959547,25.2815761,F3,13.9296999,-2.94E-05,1.93E-05,-8.82,5.78,4.183,0.061,6651.44,42.33,-0.24,0.037
42771,407802217,14/01/2016,20.363255,38.50345,K7,18.9477005,-0.00013645,2.46E-05,,,,,,,,
102348,238008208,02/05/2014,283.925083,45.315833,G5,-999,-4.87E-05,1.73E-05,-14.61,5.19,2.435,0.141,4432.1,83.92,-0.633,0.092
52105,274104178,01/12/2014,340.954179,30.123853,A7,-999,3.89E-05,1.07E-05,11.65,3.22,4.094,0.027,7116.87,19.98,-0.219,0.015
